Date,CBOE Volatility Index | diff_1 | lag_1,Copper Futures | log_return | lag_5,Silver Futures | log_return | lag_1,U.S. Dollar Index | log_return | lag_1,US 10Y Treasury Yield | log_return | lag_1,WTI Crude Oil Futures | log_return | lag_1,Gold Futures (COMEX) | target_log_return_t_plus_5
2006-02-01,0.5599994659423828,0.0209527164001353,0.0112303997566062,-0.0051575301179965,-0.0017655924210639,-0.0063110258013678,-0.0344831822204822
2006-02-02,-0.5900001525878906,0.0058427186442469,-0.0091790700358791,0.0061635545378549,0.0074824117935689,-0.0202267552109291,-0.0140723518386779
2006-02-03,0.869999885559082,0.0287122457499467,0.0085696947022621,-0.0015652886226703,0.0,-0.0286517204060247,-0.0307826947256981
2006-02-06,-0.2699995040893554,-0.0273687520023308,-0.0116482694269842,0.0058016076693178,-0.006157899017247,0.0106114402134315,-0.0562716269779068
2006-02-07,0.0799999237060546,0.0004475015434543,-0.0002055560826131,0.004440028663916,0.0026437741401548,-0.003985323017647,-0.0092989556426124
2006-02-08,0.5500001907348633,0.0104573051433061,-0.0364285178500158,-0.0005539583822592,0.0048287705757666,-0.0315158758216377,-0.0190865832575002
2006-02-09,-0.7600002288818359,0.0259981775991462,0.0037243828387351,0.0021033100501252,0.0061121951559528,-0.0085960560856463,-0.0333214078448116
2006-02-10,0.2899999618530273,-0.0002156642939098,0.0234094118734399,-0.0015493516678661,-0.0118214823933371,0.0011184741255186,0.0029037689839748
2006-02-13,-0.25,0.007949274300138,-0.0292683161211141,0.0028754955726414,0.0087700546742945,-0.0125342920945362,0.023470068751986
2006-02-14,0.4800004959106445,-0.0211945764773768,-0.028170798367165,-0.000110465912215,0.0004365630517105,-0.0097498085491322,0.0145483556054162
2006-02-15,-1.1000003814697266,-0.0032840460588549,0.0214173046454996,0.0,0.0067412803739886,-0.0276485116798785,0.0259707568729423
2006-02-16,0.0600004196166992,0.0126391065627524,-0.0105969386125422,0.0019861013154966,-0.0017353360504958,-0.0318948997810436,0.0043860164619668
2006-02-17,-0.8300008773803711,-0.0366082524239439,0.0171367497712212,0.0001102467455306,-0.0021733874869689,0.0130855572857767,0.0126059658767423
2006-02-20,0.5300006866455078,0.00492939283536,0.0053288190985911,-0.0009924901947431,-0.0120391745625291,0.0239998333666717,0.0052418094067518
2006-02-21,0.0,0.0131011123235171,0.0,0.0,0.0,0.0,0.0138056001235486
2006-02-22,0.3999996185302734,-0.0325104252546071,0.0135137463797274,-0.0009933919540691,0.0048331184994337,0.0201692638150578,0.0171831243641128
2006-02-23,-0.5299997329711914,0.0194093129310901,0.0032455806419432,0.0013243034313684,-0.0070376502598194,-0.0014740835516595,0.0354684986969029
2006-02-24,-0.0100002288818359,-0.0125957028744186,-0.0110359514465101,-0.0030928864053548,0.0079138189977702,-0.0077334389361642,0.0128024726654573
2006-02-27,-0.4099998474121094,0.0,0.0282383871432847,0.002430953912102,0.0,0.0384008124401858,0.0003605122613488
2006-02-28,0.1300001144409179,0.0320739244664448,-0.0135507183235656,0.0002206647912518,0.0050235423244472,-0.0308312669831319,-0.0159744283138707
